Name,Year of Release,Genres,Rating,Actors,Director,Description,Image
The Last Samurai,2003,Action Drama ,7.8,TomCruise KenWatanabe BillyConnolly ,EdwardZwick,"Nathan Algren, a US army veteran, is hired by the Japanese emperor to train his army in the modern warfare techniques. Nathan finds himself trapped in a struggle between two eras and two worlds.","https://m.media-amazon.com/images/M/MV5BMzkyNzQ1Mzc0NV5BMl5BanBnXkFtZTcwODg3MzUzMw@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Lolita,1997,Drama Romance ,6.8,JeremyIrons DominiqueSwain MelanieGriffith ,AdrianLyne,"An English professor falls for a minor, and has to face the consequences of his actions.","https://m.media-amazon.com/images/M/MV5BOGNkZDU0YjktN2Q5Zi00MmY0LWI3Y2YtNmQzOGQxY2UzNGM3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Place Beyond the Pines,2012,Crime Drama Thriller ,7.3,RyanGosling BradleyCooper EvaMendes ,DerekCianfrance,Two men and their sons must deal with the unforeseen consequences of their actions.,"https://m.media-amazon.com/images/M/MV5BMjc1OTEwNjU4N15BMl5BanBnXkFtZTcwNzUzNDIwOQ@@._V1_QL75_UX72_CR0,2,72,107_.jpg"
True Romance,1993,Crime Drama Romance ,7.9,ChristianSlater PatriciaArquette DennisHopper ,TonyScott,"In Detroit, a pop culture nerd steals cocaine from his new wife's pimp and tries to sell it in Hollywood, prompting the mobsters who own the drugs to pursue the couple.","https://m.media-amazon.com/images/M/MV5BYWRhYWJjNGEtMjNhNi00NzFkLTk1ZGUtNjNmM2FlNTNhNWRjXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX72_CR0,0,72,107_.jpg"
X-Men: First Class,2011,Action Sci-Fi ,7.7,JamesMcAvoy MichaelFassbender JenniferLawrence ,MatthewVaughn,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.","https://m.media-amazon.com/images/M/MV5BMTg5OTMxNzk4Nl5BMl5BanBnXkFtZTcwOTk1MjAwNQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Airplane!,1980,Comedy ,7.7,RobertHays JulieHagerty LeslieNielsen ,JimAbrahams,"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must safely land a commercial airplane full of passengers.","https://m.media-amazon.com/images/M/MV5BZjA3YjdhMWEtYjc2Ni00YzVlLWI0MTUtMGZmNTJjNmU0Yzk2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Brothers,2009,Drama Thriller War ,7.1,JakeGyllenhaal NataliePortman TobeyMaguire ,JimSheridan,"While on tour in Afghanistan, Sam's helicopter is shot down and he is presumed dead. Back home, it is his screw-up brother who looks after the family. Sam does return, but with a lot of excess baggage.","https://m.media-amazon.com/images/M/MV5BMTkyMTY5MTcxOV5BMl5BanBnXkFtZTcwMTI3MDE3Mg@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Leo,2023,Animation Adventure Comedy ,7,AdamSandler BillBurr CecilyStrong ,RobertMarianetti,A 74-year-old lizard named Leo and his turtle friend decide to escape from the terrarium of a Florida school classroom where they have been living for decades.,"https://m.media-amazon.com/images/M/MV5BOTVkYTBlZDEtZmUxNS00ZjgzLWFjOGItNDdlMjdkYzg1ZmQ4XkEyXkFqcGdeQXVyMTU3NDg0OTgx._V1_QL75_UX72_CR0,1,72,107_.jpg"
Yesterday,2019,Comedy Fantasy Music ,6.8,HimeshPatel LilyJames SophiaDiMartino ,DannyBoyle,A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate reality where they never existed.,"https://m.media-amazon.com/images/M/MV5BMjQ0NTI0NjkyN15BMl5BanBnXkFtZTgwNzY0MTE0NzM@._V1_QL75_UX72_CR0,0,72,107_.jpg"
1917,2019,Action Drama War ,8.2,Dean-CharlesChapman GeorgeMacKay DanielMays ,SamMendes,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_QL75_UX72_CR0,4,72,107_.jpg"
