Name,Year of Release,Genres,Rating,Actors,Director,Description,Image
Extraction II,2023,Action Crime Thriller ,7,ChrisHemsworth GolshiftehFarahani AdamBessa ,SamHargrave,"After barely surviving his grievous wounds from his mission in Dhaka, Bangladesh, Tyler Rake is back, and his team is ready to take on their next mission.","https://m.media-amazon.com/images/M/MV5BZjg5MTM4N2QtN2RlMS00NzBlLTg3NDktM2ExZDNmMmExMGU3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Flintstones,1994,Comedy Family Fantasy ,5,,,,"https://m.media-amazon.com/images/M/MV5BYzY0ZTk4YzctNzYzNy00ZDQ0LTg2Y2ItZTQyYzQxMjQwMDc2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Cruella 2,Adventure,,,,,"Plot under wraps. Sequel to 2021 movie ""Cruella"".",
Crazy Rich Asians,2018,Comedy Drama Romance ,6.9,ConstanceWu HenryGolding MichelleYeoh ,JonM.Chu,This contemporary romantic comedy based on a global bestseller follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.,"https://m.media-amazon.com/images/M/MV5BMTYxNDMyOTAxN15BMl5BanBnXkFtZTgwMDg1ODYzNTM@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Last of the Mohicans,1992,Action Adventure Drama ,7.7,DanielDay-Lewis MadeleineStowe RussellMeans ,MichaelMann,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,"https://m.media-amazon.com/images/M/MV5BZDNiYmRkNDYtOWU1NC00NmMxLWFkNmUtMGI5NTJjOTJmYTM5XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_QL75_UX72_CR0,0,72,107_.jpg"
A History of Violence,2005,Action Crime Drama ,7.4,ViggoMortensen MariaBello EdHarris ,DavidCronenberg,"A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core.","https://m.media-amazon.com/images/M/MV5BMTczMzIzMTQ1OV5BMl5BanBnXkFtZTYwMDQwNjk2._V1_QL75_UX72_CR0,0,72,107_.jpg"
Sherlock Holmes,2009,Action Adventure Mystery ,7.6,RobertDowneyJr. JudeLaw RachelMcAdams ,GuyRitchie,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,"https://m.media-amazon.com/images/M/MV5BMTg0NjEwNjUxM15BMl5BanBnXkFtZTcwMzk0MjQ5Mg@@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Terrifier 2,2022,Horror ,6.1,LaurenLaVera DavidHowardThornton ElliottFullam ,DamienLeone,"After being resurrected by a sinister entity, Art the Clown returns to the timid town of Miles County where he targets a teenage girl and her younger brother on Halloween night.","https://m.media-amazon.com/images/M/MV5BNTc5YWQ2MzAtM2E3Yi00MDUyLWFiYzctMzQ5NWVkMmQ0OTcxXkEyXkFqcGdeQXVyMTU2MDk3MDQz._V1_QL75_UY107_CR0,0,72,107_.jpg"
Scooby-Doo,2002,Adventure Comedy Family ,5.3,MatthewLillard FreddiePrinzeJr. SarahMichelleGellar ,RajaGosnell,"After an acrimonious break up, the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on.","https://m.media-amazon.com/images/M/MV5BMTg4MzMzMTY0OF5BMl5BanBnXkFtZTYwNzM3MTg2._V1_QL75_UY107_CR0,0,72,107_.jpg"
Dawn of the Planet of the Apes,2014,Action Adventure Drama ,7.6,GaryOldman KeriRussell AndySerkis ,MattReeves,The fragile peace between apes and humans is threatened as mistrust and betrayal threaten to plunge both tribes into a war for dominance over the Earth.,"https://m.media-amazon.com/images/M/MV5BYWE2MzU2ZGUtYTY1Yi00ZTI5LWE4NzMtNWM1NzRhMDQ3ZjM3XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Wonder Woman,2017,Action Adventure Fantasy ,7.3,GalGadot ChrisPine RobinWright ,PattyJenkins,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.","https://m.media-amazon.com/images/M/MV5BMTYzODQzYjQtNTczNC00MzZhLTg1ZWYtZDUxYmQ3ZTY4NzA1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Black Panther: Wakanda Forever,2022,Action Adventure Drama ,6.7,LetitiaWright LupitaNyong'o DanaiGurira ,RyanCoogler,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.,"https://m.media-amazon.com/images/M/MV5BNTM4NjIxNmEtYWE5NS00NDczLTkyNWQtYThhNmQyZGQzMjM0XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Baghead,2023,Horror ,5.4,FreyaAllan JeremyIrvine RubyBarker ,AlbertoCorredor,"A young woman inherits a run-down pub and discovers a dark secret within its basement - Baghead - a shape-shifting creature that will let you speak to lost loved ones, but not without consequence.","https://m.media-amazon.com/images/M/MV5BODA3ZGMwYzItZGZlMS00MWFmLThhNWMtZGY1NmFmZjg0ZjAwXkEyXkFqcGdeQXVyMTYxNTA3NjEx._V1_QL75_UY107_CR0,0,72,107_.jpg"
Coraline,2009,Animation Drama Family ,7.7,DakotaFanning TeriHatcher JohnHodgman ,HenrySelick,"Wandering her rambling old house in her boring new town, an 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.","https://m.media-amazon.com/images/M/MV5BMzQxNjM5NzkxNV5BMl5BanBnXkFtZTcwMzg5NDMwMg@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Hunger Games: Mockingjay - Part 2,2015,Action Adventure Sci-Fi ,6.5,JenniferLawrence JoshHutcherson LiamHemsworth ,FrancisLawrence,Katniss and a team of rebels from District 13 prepare for the final battle that will decide the fate of Panem.,"https://m.media-amazon.com/images/M/MV5BNjQzNDI2NTU1Ml5BMl5BanBnXkFtZTgwNTAyMDQ5NjE@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Inside Man,2006,Crime Drama Mystery ,7.6,DenzelWashington CliveOwen JodieFoster ,SpikeLee,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.","https://m.media-amazon.com/images/M/MV5BYjc4MjA2ZDgtOGY3YS00NDYzLTlmNTEtYWMxMzcwZjgzYWNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Primal Fear,1996,Crime Drama Mystery ,7.7,RichardGere LauraLinney EdwardNorton ,GregoryHoblit,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep.","https://m.media-amazon.com/images/M/MV5BZTM2NWI2OGYtYWNhMi00ZTlmLTg2ZTAtMmI5NWRjODA5YTE1XkEyXkFqcGdeQXVyODE2OTYwNTg@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Little Miss Sunshine,2006,Comedy Drama ,7.8,SteveCarell ToniCollette GregKinnear ,JonathanDayton,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,"https://m.media-amazon.com/images/M/MV5BMTgzNTgzODU0NV5BMl5BanBnXkFtZTcwMjEyMjMzMQ@@._V1_QL75_UY107_CR0,0,72,107_.jpg"
In Time,2011,Action Sci-Fi Thriller ,6.7,JustinTimberlake AmandaSeyfried CillianMurphy ,AndrewNiccol,"In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system.","https://m.media-amazon.com/images/M/MV5BMjA3NzI1ODc1MV5BMl5BanBnXkFtZTcwMzI5NjQwNg@@._V1_QL75_UY107_CR2,0,72,107_.jpg"
Jerry and Marge Go Large,2022,Biography Comedy Drama ,6.9,BryanCranston AnnetteBening RainnWilson ,DavidFrankel,"Based on the true story about long-married couple Jerry and Marge Selbee, who win the lottery and use the money to revive their small town.","https://m.media-amazon.com/images/M/MV5BYWI5Y2ExNzUtZjQ1NS00ZjBlLWI1NDktZGYwNTRiNzI5ZjMxXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_QL75_UX72_CR0,0,72,107_.jpg"
Citizen Kane,1941,Drama Mystery ,8.3,OrsonWelles JosephCotten DorothyComingore ,OrsonWelles,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'","https://m.media-amazon.com/images/M/MV5BYjBiOTYxZWItMzdiZi00NjlkLWIzZTYtYmFhZjhiMTljOTdkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX72_CR0,1,72,107_.jpg"
The Marsh King's Daughter,2023,Crime Drama Mystery ,5.9,DaisyRidley BenMendelsohn BrooklynnPrince ,NeilBurger,A woman seeks revenge against the man who kidnapped her mother.,"https://m.media-amazon.com/images/M/MV5BNzdjNzY1OTctMWIxMS00NzA3LWExNWQtOWEyM2Q2MWRlOGFmXkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Birdcage,1996,Comedy ,7.2,RobinWilliams NathanLane GeneHackman ,MikeNichols,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.,"https://m.media-amazon.com/images/M/MV5BMTM2NjExODYyOF5BMl5BanBnXkFtZTcwNTc0NjgyNA@@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Dodgeball: A True Underdog Story,2004,Comedy Sport ,6.7,BenStiller ChristineTaylor VinceVaughn ,RawsonMarshallThurber,A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,"https://m.media-amazon.com/images/M/MV5BMTIwMzE2MjM4MV5BMl5BanBnXkFtZTYwNjA1OTY3._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Karate Kid,1984,Action Drama Family ,7.3,RalphMacchio PatMorita ElisabethShue ,JohnG.Avildsen,A martial arts master agrees to teach karate to a bullied teenager.,"https://m.media-amazon.com/images/M/MV5BNTkzY2YzNmYtY2ViMS00MThiLWFlYTEtOWQ1OTBiOGEwMTdhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX72_CR0,3,72,107_.jpg"
9 Songs,2004,Drama Music Romance ,4.7,KieranO'Brien MargoStilley RobertLevonBeen ,MichaelWinterbottom,"In London, intense sexual encounters take place between an American college student, named Lisa, and an English scientist, named Matt, between attending rock concerts.","https://m.media-amazon.com/images/M/MV5BOGRiYjgwMmYtYWRjNi00MzkwLWJlOGUtYTg1ZThhODk3YWY0XkEyXkFqcGdeQXVyNTM0NTU5Mg@@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Thor: Ragnarok,2017,Action Adventure Comedy ,7.9,ChrisHemsworth TomHiddleston CateBlanchett ,TaikaWaititi,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.","https://m.media-amazon.com/images/M/MV5BMjMyNDkzMzI1OF5BMl5BanBnXkFtZTgwODcxODg5MjI@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Wolverine,2013,Action Sci-Fi ,6.7,HughJackman WillYunLee TaoOkamoto ,JamesMangold,"Wolverine comes to Japan to meet an old friend whose life he saved years ago, and gets embroiled in a conspiracy involving yakuza and mutants.","https://m.media-amazon.com/images/M/MV5BNzg1MDQxMTQ2OF5BMl5BanBnXkFtZTcwMTk3MjAzOQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Immortals,2011,Action Drama Fantasy ,6,HenryCavill MickeyRourke JohnHurt ,TarsemSingh,"Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.","https://m.media-amazon.com/images/M/MV5BMTMzMjA2MjA2N15BMl5BanBnXkFtZTcwMTkwNTc5Ng@@._V1_QL75_UY107_CR0,0,72,107_.jpg"
End of Watch,2012,Action Crime Drama ,7.6,JakeGyllenhaal MichaelPeña AnnaKendrick ,DavidAyer,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends and what happens when they meet criminal forces greater than themselves.","https://m.media-amazon.com/images/M/MV5BMjMxNjU0ODU5Ml5BMl5BanBnXkFtZTcwNjI4MzAyOA@@._V1_QL75_UX72_CR0,2,72,107_.jpg"
Seize Them!,2024,Comedy ,6.1,NicolaCoughlan JamesAcaster AimeeLouWood ,CurtisVowell,"Dark Ages Britain where Queen Dagan is toppled by a revolution led by Humble Joan. The Queen becomes a fugitive in her own land, and must face hardship and danger as she embarks on a voyage to win back her throne.","https://m.media-amazon.com/images/M/MV5BYThlZjRlZDItMzA2NC00Nzk3LWI5MWQtMTczYjRiODJmOWYyXkEyXkFqcGdeQXVyMjQ1MDAwOTI@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Planet of the Apes,1968,Adventure Sci-Fi ,8,CharltonHeston RoddyMcDowall KimHunter ,FranklinJ.Schaffner,An astronaut crew crash-lands on a planet where highly intelligent non-human ape species are dominant and humans are enslaved.,"https://m.media-amazon.com/images/M/MV5BZmNiNzJkYTQtNGUxMS00MWY4LTg0YjQtYmQ3MWY4NWUxYzBmXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Holes,2003,Adventure Comedy Drama ,7,ShiaLaBeouf SigourneyWeaver JonVoight ,AndrewDavis,A wrongfully convicted boy is sent to a brutal desert detention camp where he joins the job of digging holes for some mysterious reason.,"https://m.media-amazon.com/images/M/MV5BMTg0MTU5ODkwM15BMl5BanBnXkFtZTYwMzgxNzY3._V1_QL75_UY107_CR0,0,72,107_.jpg"
Cocaine Bear,2023,Comedy Thriller ,5.9,KeriRussell AldenEhrenreich O'SheaJacksonJr. ,ElizabethBanks,"An oddball group of cops, criminals, tourists and teens converge on a Georgia forest where a huge black bear goes on a murderous rampage after unintentionally ingesting cocaine.","https://m.media-amazon.com/images/M/MV5BODAwZDQ5ZjEtZDI1My00MTFiLTg0ZjUtOGE2YTBkOTdjODFhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Ace Ventura: Pet Detective,1994,Comedy ,6.9,JimCarrey CourteneyCox SeanYoung ,TomShadyac,A goofy detective specializing in animals goes in search of the missing mascot of the Miami Dolphins.,"https://m.media-amazon.com/images/M/MV5BYmVhNmFmOGYtZjgwNi00ZGQ0LThiMmQtOGZjMDUzNzJhMGIzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Old School,2003,Comedy ,7,LukeWilson VinceVaughn WillFerrell ,ToddPhillips,Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.,"https://m.media-amazon.com/images/M/MV5BN2VjNDQ4MDctMDY3Yy00MmZmLTlhM2MtMWE4NjJhZTlmNTAxL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX72_CR0,2,72,107_.jpg"
I Spit on Your Grave,2010,Horror Thriller ,6.2,SarahButler JeffBranson AndrewHoward ,StevenR.Monroe,"A writer who is brutalized during her cabin retreat seeks revenge on her attackers, who left her for dead.","https://m.media-amazon.com/images/M/MV5BMTkxMTE3NzEzMl5BMl5BanBnXkFtZTcwMzc4MTU2Mw@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Upgrade,2018,Action Sci-Fi Thriller ,7.5,LoganMarshall-Green MelanieVallejo SteveDanielsen ,LeighWhannell,"Set in the near-future, technology controls nearly all aspects of life. But when the world of Grey, a self-labeled technophobe, is turned upside down, his only hope for revenge is an experimental computer chip implant.","https://m.media-amazon.com/images/M/MV5BMjI0NzcyMjM5Ml5BMl5BanBnXkFtZTgwMzk2NzAyNTM@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Waves,2019,Drama Romance Sport ,7.5,TaylorRussell KelvinHarrisonJr. AlexaDemie ,TreyEdwardShults,"Traces the journey of a suburban family - led by a well-intentioned but domineering father - as they navigate love, forgiveness, and coming together in the aftermath of a loss.","https://m.media-amazon.com/images/M/MV5BMWE2OTdiY2MtM2ViNy00NmExLWIxZjYtYTVkNGJkNzgwYjVmXkEyXkFqcGdeQXVyNjgzMjQ0MTA@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Spiderwick Chronicles,2008,Action Adventure Drama ,6.5,FreddieHighmore SarahBolger DavidStrathairn ,MarkWaters,"Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.","https://m.media-amazon.com/images/M/MV5BNjJkMjRiZTEtM2VmMi00ZmYzLWI2ZTktYmVhNWZhOTMzNmExXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_QL75_UX72_CR0,0,72,107_.jpg"
Scary Movie,2000,Comedy ,6.3,AnnaFaris JonAbrahams MarlonWayans ,KeenenIvoryWayans,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.","https://m.media-amazon.com/images/M/MV5BMGEzZjdjMGQtZmYzZC00N2I4LThiY2QtNWY5ZmQ3M2ExZmM4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Self Reliance,2023,Comedy Thriller ,6.1,JakeJohnson AndySamberg BjornJohnson ,JakeJohnson,"Given the opportunity to participate in a life or death reality game show, one man discovers there's a lot to live for.","https://m.media-amazon.com/images/M/MV5BYjdkZmVlM2MtY2U0Ny00ZjU2LWE4NzYtOTdmYjc1MTk5ZmU2XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_QL75_UX72_CR0,0,72,107_.jpg"
Rocky,1976,Drama Sport ,8.1,SylvesterStallone TaliaShire BurtYoung ,JohnG.Avildsen,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,"https://m.media-amazon.com/images/M/MV5BNTBkMjg2MjYtYTZjOS00ODQ0LTg0MDEtM2FiNmJmOGU1NGEwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX72_CR0,1,72,107_.jpg"
The Cell,2000,Crime Horror Sci-Fi ,6.4,JenniferLopez VinceVaughn VincentD'Onofrio ,TarsemSingh,"An F.B.I. Agent persuades a social worker, who is adept with a new experimental technology, to enter the mind of a comatose serial killer in order to learn where he has hidden his latest kidnap victim.","https://m.media-amazon.com/images/M/MV5BMDY1NmVmOTItYWU0NC00OGU2LWIyNTctYTU3NTY3ZjJkOWJjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Mary Poppins,1964,Comedy Family Fantasy ,7.8,JulieAndrews DickVanDyke DavidTomlinson ,RobertStevenson,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.","https://m.media-amazon.com/images/M/MV5BNmJkODczNjItNDI5Yy00MGI1LTkyOWItZDNmNjM4ZGI1ZDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_QL75_UX72_CR0,1,72,107_.jpg"
The Batman Part II,2026,Action Crime Drama ,,,,Plot under wraps,"https://m.media-amazon.com/images/M/MV5BMzA0NmZiZWEtOTRjZS00NTk3LTgzOGQtODMwMDg5ZjRiMTI5XkEyXkFqcGdeQXVyMTcxMzQ0MTg4._V1_QL75_UX72_CR0,1,72,107_.jpg"
No One Will Save You,2023,Horror Sci-Fi Thriller ,6.3,KaitlynDever ElizabethKaluev ZackDuhame ,BrianDuffield,An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.,"https://m.media-amazon.com/images/M/MV5BMGNhZDczNTUtOWEzZS00ZjEyLTkzODQtOGM1MTZiMGY2ODIyXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Other Guys,2010,Action Comedy Crime ,6.6,WillFerrell MarkWahlberg DerekJeter ,AdamMcKay,"Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned.","https://m.media-amazon.com/images/M/MV5BMDlhZDQ5NDUtNDcwMi00MTQ5LTk1Y2UtYjNmMjgzNzNhNzU3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The English Patient,1996,Drama Romance War ,7.4,RalphFiennes JulietteBinoche WillemDafoe ,AnthonyMinghella,"At the close of World War II, a young nurse tends to a badly burned plane crash victim. His past is shown in flashbacks, revealing an involvement in a fateful love affair.","https://m.media-amazon.com/images/M/MV5BOTkxZTdkNTQtM2QwOS00NzRlLWEyMGItYTcxOTE4NTgyNGVhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Nefarious,2023,Horror Thriller ,6.4,SeanPatrickFlanery JordanBelfi TomOhmer ,ChuckKonzelman,"On the day of his scheduled execution, a convicted serial killer gets a psychiatric evaluation during which he claims he is a demon, and further claims that before their time is over, the psychiatrist will commit three murders of his own.","https://m.media-amazon.com/images/M/MV5BNmY4NTlkNTEtNDBjMS00ZTJiLWFlZDMtNWY0MWFlZmNjMTFlXkEyXkFqcGdeQXVyMzQxODQzMTE@._V1_QL75_UX72_CR0,3,72,107_.jpg"
The Princess Diaries,2001,Comedy Family Romance ,6.4,JulieAndrews AnneHathaway HectorElizondo ,GarryMarshall,"Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her sixteenth year.","https://m.media-amazon.com/images/M/MV5BMzcwYjEwMzEtZTZmMi00ZGFhLWJhZjItMDAzNDVkNjZmM2U5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY107_CR1,0,72,107_.jpg"
Wanderlust,2012,Comedy Romance ,5.6,JenniferAniston PaulRudd MalinAkerman ,DavidWain,"Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules.","https://m.media-amazon.com/images/M/MV5BMjA5NjIyOTY1Nl5BMl5BanBnXkFtZTcwMDY3NjQ0Nw@@._V1_QL75_UX72_CR0,4,72,107_.jpg"
Jason and the Argonauts,1963,Action Adventure Family ,7.3,ToddArmstrong NancyKovack GaryRaymond ,DonChaffey,The legendary Greek hero leads a team of intrepid adventurers in a perilous quest for the legendary Golden Fleece.,"https://m.media-amazon.com/images/M/MV5BN2NiMWEwZmYtNGIzNi00NjllLTg0ZTUtODQ0MDgwMGZkZWE2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX72_CR0,2,72,107_.jpg"
Night Shift,2023,Horror Thriller ,5.2,PhoebeTonkin MadisonHu LamorneMorris ,BenjaminChina,"While working her first night shift at a remote motel, a woman begins to suspect that the property is haunted.","https://m.media-amazon.com/images/M/MV5BNTk3ZjI0MTgtN2ViMC00YjFhLTk0MjctZjg3YmJmNGRhYWQzXkEyXkFqcGdeQXVyNTQ3MjE4NTU@._V1_QL75_UY107_CR1,0,72,107_.jpg"
Notting Hill,1999,Comedy Drama Romance ,7.2,HughGrant JuliaRoberts RichardMcCabe ,RogerMichell,"A set of circumstances makes Anna Scott, a famous actress, fall in love with William Thacker, owner of a bookstore in Notting Hill. But the paparazzi's fascination with her complicates their bond.","https://m.media-amazon.com/images/M/MV5BMTE5OTkwYzYtNDhlNC00MzljLTk1YTktY2IxZjliZmNjMjUzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX72_CR0,0,72,107_.jpg"
WALL·E,2008,Animation Adventure Family ,8.4,BenBurtt ElissaKnight JeffGarlin ,AndrewStanton,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Jungle Cruise,2021,Action Adventure Comedy ,6.6,DwayneJohnson EmilyBlunt EdgarRamírez ,JaumeCollet-Serra,Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.,"https://m.media-amazon.com/images/M/MV5BNDE1MGRlNTQtZjc4ZC00MTI0LWEwY2MtODk1YTM2NmFmYTNmXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Star Wars: Episode II - Attack of the Clones,2002,Action Adventure Fantasy ,6.6,HaydenChristensen NataliePortman EwanMcGregor ,GeorgeLucas,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi discovers a secret clone army crafted for the Jedi.","https://m.media-amazon.com/images/M/MV5BMDAzM2M0Y2UtZjRmZi00MzVlLTg4MjEtOTE3NzU5ZDVlMTU5XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Constantine 2,Action,,,,,"Reeves will reprise his role as supernatural exorcist and demonologist John Constantine. Who, in the original is dying, but sticks around to save his soul by keeping demons in hell from breaching earth.","https://m.media-amazon.com/images/M/MV5BZWNjZTE5ZmYtNzM4OS00NDBjLTk0NGYtMmQyMTFmZDQzZDUwXkEyXkFqcGdeQXVyNDQ1MTUxNjM@._V1_QL75_UY107_CR6,0,72,107_.jpg"
White Chicks,2004,Comedy Crime ,5.8,MarlonWayans ShawnWayans BusyPhilipps ,KeenenIvoryWayans,Two disgraced FBI agents go way undercover in an effort to protect hotel heiresses the Wilson sisters from a kidnapping plot.,"https://m.media-amazon.com/images/M/MV5BMTY3OTg2OTM3OV5BMl5BanBnXkFtZTYwNzY5OTA3._V1_QL75_UX72_CR0,0,72,107_.jpg"
Minority Report,2002,Action Crime Mystery ,7.6,TomCruise ColinFarrell SamanthaMorton ,StevenSpielberg,"John works with the PreCrime police which stop crimes before they take place, with the help of three 'PreCogs' who can foresee crimes. Events ensue when John finds himself framed for a future murder.","https://m.media-amazon.com/images/M/MV5BZTI3YzZjZjEtMDdjOC00OWVjLTk0YmYtYzI2MGMwZjFiMzBlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX72_CR0,1,72,107_.jpg"
The Ballad of Buster Scruggs,2018,Comedy Drama Musical ,7.2,TimBlakeNelson WillieWatson ClancyBrown ,EthanCoen,"Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.","https://m.media-amazon.com/images/M/MV5BYjRkYTI3M2EtZWQ4Ny00OTA2LWFmMTMtY2E4MTEyZmNjOTMxXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Demolition,2015,Comedy Drama ,7,JakeGyllenhaal NaomiWatts ChrisCooper ,Jean-MarcVallée,"A successful investment banker struggles after losing his wife in a tragic car crash. With the help of a customer service rep and her young son, he starts to rebuild, beginning with the demolition of the life he once knew.","https://m.media-amazon.com/images/M/MV5BNjM4ZGIyODQtNjEyZS00ODgzLWJhNGQtODlmMzRkZDg0OTE1XkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_QL75_UX72_CR0,1,72,107_.jpg"
